Compound ID,ALT,homodimer_dG,monomer_dG,ddG_dimerization,wing5_homodimer_dG,wing3_homodimer_dG,wing5_wing3_dG
949935,98.0,-4.549102990276367,-0.13256849644661528,-4.283965997383136,,,
950023,42.0,-4.682781464842056,-0.23864807241038358,-4.205485320021289,,,
950030,59.0,-5.283768616768105,-0.32160202567214485,-4.640564565423816,,,
950060,47.0,-5.006999738703469,-0.1152314529690663,-4.776536832765336,,,
950089,40.0,-5.630041339474273,-0.36994214405640313,-4.8901570513614665,,,
950132,58.0,-4.9673171546115,-0.22630525294430276,-4.514706648722894,,,
950183,49.0,-5.34670667812322,-0.2811060162472242,-4.784494645628771,,,
951356,64.0,-4.885242190045584,-0.13319034504788435,-4.618861499949815,,,
951362,60.0,-5.38055589352044,-0.13419257924971148,-5.112170735021017,,,
951371,312.0,-4.370236200204103,-0.1118222300947811,-4.146591740014541,,,
951372,59.0,-5.529640981617019,-0.2893260484447174,-4.950988884727584,,,
951407,172.0,-4.996171206520828,-0.2071571510291466,-4.581856904462535,,,
951431,64.0,-5.336266421635637,-0.075734535439413,-5.184797350756811,,,
951793,319.0,-6.88471368264821,-0.633860074083614,-5.616993534480981,,,
951797,41.0,-5.078260635729487,-0.14826130426783654,-4.781738027193814,,,
951798,53.0,-5.056048617892299,-0.12756994422428558,-4.800908729443727,,,
951799,44.0,-5.078465345374292,-0.1366609795121035,-4.805143386350085,,,
951816,121.0,-5.3340487111033354,-0.3406241046523588,-4.652800501798618,,,
951821,79.0,-5.187093999568669,-0.5456181666831863,-4.095857666202296,,,
951827,56.0,-4.900329724345603,-0.18498752394915868,-4.530354676447286,,,
951839,45.0,-7.077487908076666,-0.07269591363347037,-6.932096080809726,,,
951845,117.0,-5.189651749832265,-0.21736867819691533,-4.754914393438434,,,
951846,35.0,-5.660616305001143,-0.4353833279573644,-4.789849649086414,,,
951856,112.0,-6.329716414779866,-0.12869462195834006,-6.072327170863185,,,
958371,249.0,-6.470053981944282,-0.2636646871353154,-5.942724607673652,,,
958375,2736.0,-4.949630977102386,-0.0887661281563208,-4.772098720789744,,,
958454,1183.0,-4.358904553932069,-0.11161713083109855,-4.135670292269872,,,
958497,46.0,-5.723913133985901,-0.5913402379384445,-4.541232658109012,,,
958498,1441.0,-5.112986375304191,-0.38927418946474984,-4.334437996374691,,,
958499,110.5,-4.779230551965771,-0.20567184063181437,-4.367886870702142,,,
958509,1483.0,-4.294467522121828,-0.07269964831180668,-4.1490682254982145,,,
958534,1962.0,-4.752148239777674,-0.11842570367962252,-4.5152968324184295,,,
958540,4127.0,-4.704134176275977,-0.09204506804408968,-4.5200440401877975,,,
958553,174.0,-4.683391519788881,-0.09411981959449019,-4.4951518805999005,,,
958554,583.0,-5.717484518228198,-0.29450136986610953,-5.128481778495979,,,
958589,35.0,-4.592816327084663,-0.11163114644807634,-4.369554034188511,,,
958590,374.0,-4.909647847409314,-0.13227973185705078,-4.645088383695212,,,
958596,207.0,-4.940978721626161,-0.11384915375019787,-4.713280414125765,,,
